date,open,high,low,close,volume
2026-01-01 09:15:00+05:30,1615.4,1622.3,1614.1,1619.0,79089
2026-01-01 09:20:00+05:30,1619.0,1624.2,1618.4,1623.6,37339
2026-01-01 09:25:00+05:30,1623.6,1624.6,1621.0,1622.9,22161
2026-01-01 09:30:00+05:30,1622.5,1622.5,1618.5,1619.6,27612
2026-01-01 09:35:00+05:30,1619.6,1619.6,1615.9,1618.5,27959
2026-01-01 09:40:00+05:30,1618.5,1619.2,1617.0,1618.0,13594
2026-01-01 09:45:00+05:30,1618.0,1618.6,1616.3,1618.6,14207
2026-01-01 09:50:00+05:30,1618.6,1621.7,1618.1,1621.1,19777
2026-01-01 09:55:00+05:30,1621.7,1621.8,1619.8,1621.1,12291
2026-01-01 10:00:00+05:30,1621.5,1623.9,1618.5,1619.7,72123
2026-01-01 10:05:00+05:30,1619.7,1623.0,1619.7,1622.5,34895
2026-01-01 10:10:00+05:30,1622.2,1622.5,1621.2,1622.4,8214
2026-01-01 10:15:00+05:30,1622.4,1623.5,1622.0,1623.0,21553
2026-01-01 10:20:00+05:30,1623.2,1623.2,1621.1,1622.4,17385
2026-01-01 10:25:00+05:30,1622.4,1625.9,1622.0,1625.9,37862
2026-01-01 10:30:00+05:30,1626.0,1627.4,1625.2,1627.1,35703
2026-01-01 10:35:00+05:30,1627.1,1628.0,1626.0,1626.1,16899
2026-01-01 10:40:00+05:30,1626.5,1626.9,1625.1,1625.8,13027
2026-01-01 10:45:00+05:30,1625.5,1628.5,1624.0,1624.2,89287
2026-01-01 10:50:00+05:30,1624.0,1625.2,1624.0,1624.6,56993
2026-01-01 10:55:00+05:30,1624.2,1624.6,1622.3,1622.7,14215
2026-01-01 11:00:00+05:30,1622.7,1625.0,1622.7,1624.0,46624
2026-01-01 11:05:00+05:30,1623.9,1624.8,1623.6,1623.9,12906
2026-01-01 11:10:00+05:30,1623.7,1626.4,1622.1,1626.2,23283
2026-01-01 11:15:00+05:30,1626.0,1628.6,1625.0,1628.2,39887
2026-01-01 11:20:00+05:30,1628.2,1630.8,1628.1,1629.4,47764
2026-01-01 11:25:00+05:30,1628.9,1634.9,1628.9,1633.2,87190
2026-01-01 11:30:00+05:30,1632.7,1634.9,1632.5,1634.7,26167
2026-01-01 11:35:00+05:30,1634.6,1636.0,1633.4,1635.3,30765
2026-01-01 11:40:00+05:30,1635.5,1635.6,1633.3,1633.9,24400
2026-01-01 11:45:00+05:30,1633.9,1637.4,1633.6,1636.9,102661
2026-01-01 11:50:00+05:30,1636.8,1637.2,1632.4,1635.0,55168
2026-01-01 11:55:00+05:30,1635.0,1637.5,1634.5,1637.2,62787
2026-01-01 12:00:00+05:30,1637.2,1639.0,1636.0,1636.5,50382
2026-01-01 12:05:00+05:30,1636.5,1637.0,1634.7,1635.6,13407
2026-01-01 12:10:00+05:30,1635.3,1636.0,1634.1,1635.4,30196
2026-01-01 12:15:00+05:30,1635.0,1635.5,1634.0,1635.1,17187
2026-01-01 12:20:00+05:30,1635.1,1635.6,1633.6,1634.6,18060
2026-01-01 12:25:00+05:30,1634.3,1637.4,1634.0,1635.8,30479
2026-01-01 12:30:00+05:30,1635.3,1636.5,1634.0,1636.2,16953
2026-01-01 12:35:00+05:30,1636.2,1636.5,1633.3,1634.0,80734
2026-01-01 12:40:00+05:30,1633.7,1635.4,1633.2,1634.4,74872
2026-01-01 12:45:00+05:30,1634.1,1636.5,1634.0,1636.4,101542
2026-01-01 12:50:00+05:30,1636.4,1639.6,1636.0,1638.0,53393
2026-01-01 12:55:00+05:30,1638.0,1639.5,1638.0,1638.9,16870
2026-01-01 13:00:00+05:30,1638.9,1639.2,1638.1,1638.8,10843
2026-01-01 13:05:00+05:30,1638.6,1638.8,1636.2,1636.7,25963
2026-01-01 13:10:00+05:30,1636.2,1637.3,1636.1,1636.8,13802
2026-01-01 13:15:00+05:30,1636.3,1638.5,1636.3,1638.5,15466
2026-01-01 13:20:00+05:30,1637.9,1638.5,1634.3,1634.7,30313
2026-01-01 13:25:00+05:30,1634.4,1635.4,1633.6,1635.0,141046
2026-01-01 13:30:00+05:30,1635.3,1635.4,1633.0,1633.5,62524
2026-01-01 13:35:00+05:30,1633.5,1634.1,1632.0,1633.6,73942
2026-01-01 13:40:00+05:30,1633.6,1633.8,1632.5,1633.5,10838
2026-01-01 13:45:00+05:30,1632.7,1634.8,1632.2,1634.1,61926
2026-01-01 13:50:00+05:30,1634.1,1635.8,1634.0,1634.5,80421
2026-01-01 13:55:00+05:30,1634.4,1635.1,1633.3,1634.1,13086
2026-01-01 14:00:00+05:30,1634.1,1636.8,1633.5,1635.4,15023
2026-01-01 14:05:00+05:30,1636.1,1636.1,1635.0,1635.3,14278
2026-01-01 14:10:00+05:30,1635.0,1636.3,1635.0,1636.0,16128
2026-01-01 14:15:00+05:30,1635.5,1636.2,1635.1,1635.6,13112
2026-01-01 14:20:00+05:30,1635.5,1636.1,1634.4,1634.8,49689
2026-01-01 14:25:00+05:30,1634.8,1636.0,1634.0,1634.0,28819
2026-01-01 14:30:00+05:30,1634.0,1635.4,1634.0,1635.2,9759
2026-01-01 14:35:00+05:30,1635.3,1635.7,1634.6,1635.0,13957
2026-01-01 14:40:00+05:30,1635.0,1635.5,1632.2,1632.8,52775
2026-01-01 14:45:00+05:30,1632.8,1633.8,1631.0,1631.4,77705
2026-01-01 14:50:00+05:30,1631.4,1632.9,1631.1,1631.2,52277
2026-01-01 14:55:00+05:30,1631.2,1632.7,1631.2,1631.8,21725
2026-01-01 15:00:00+05:30,1632.1,1632.1,1627.5,1631.7,138534
2026-01-01 15:05:00+05:30,1631.1,1634.7,1631.1,1631.3,263753
2026-01-01 15:10:00+05:30,1631.5,1631.5,1628.6,1629.3,113471
2026-01-01 15:15:00+05:30,1629.4,1630.0,1627.2,1628.0,168621
2026-01-01 15:20:00+05:30,1628.0,1629.5,1626.9,1629.1,231093
2026-01-01 15:25:00+05:30,1628.9,1631.7,1628.0,1629.5,49006
